ubicacion;modelo_nombre;host;sisOperativo;arquitectura;ram;Memoria RAM;RAM Tipo;almacenamiento;D.D Capacidad;HDD/SSD;procesador;serial;macEthernet;macWifi;sapVersion;estado;officeVersion
Edificio 1;Pro 3400 Series MT;linfante-dsk;Windows 10 Pro;x64;6 GB DDR3;6 GB;DDR3;C: 465.76 GB & D: 28.9 GB HDD;C: 465.76 GB & D: 28.9 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL21115R6;00:15:5D:E2:24:6E;No Aplica;7.70;Resguardo;2013
Porton Principal;Pro 3400 Series MT;inspcp1-dsk;Windows 7 Professional;x64;2 GB DDR3;2 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL2281XRZ;AC:16:2D:09:C3:3A;No Aplica;Sin Sap;Resguardo;2013
Terminacion;Pro 3400 Series MT;SUPBTFIVE-DSK;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL2152D2P;E8:39:35:4F:10:42;No Aplica;7.70;Resguardo;2013
Terminacion Cabina Lijado;Pro 3400 Series MT;oplijado-dsk;Windows 7 Professional;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL2152D2Z;E8:39:35:4F:10:4C;No Aplica;7.40;Resguardo;2013
Edificio 4 Instrumentacion;Pro 3400 Series MT;instruoxve1-dsk;Windows 7 Professional;x32;2 GB DDR3;2 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL2151BC6;E8:39:35:4F:19:8C;No aplica;7.40;Resguardo;2013
Galpon de Urea;Pro 3400 Series MT;gurea-dsk;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 74.53 GB HDD;C: 74.53 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL2152D1F;E839354C3BFB;No Aplica;7.70;Resguardo;2013
Laboratorio Planta Quimica;Pro 3400 Series MT;laboxve-dsk;Windows 7 Professional;x64;2 GB DDR3;2 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL2151BBF;e839355108f4;No Aplica;7.40;Resguardo;2013
Laboratorio Fisico Mecanico;Pro 3400 Series MT;jlopezb-dsk;Windows 7 Professional;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL2151BD7;e83935410938;No Aplica;7.40;Resguardo;2013
Laboratoprio FM;Pro 3400 Series MT;operlabfm-dsk;Windows 7 Professional;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL21116C2;e83935392a5e;no aplica;7.40;Resguardo;2013
Cabinma de Cubicacion;Pro 3400 Series MT;cubicador-dsk;Windows 7 Professional;x64;2 GB DDR3;2 GB;DDR3;C:, E: 465.76 GB HDD;C:, E: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL2151BBC;e839354f1942;No aplica;7.40;Resguardo;2013
